"V1" "V2"
"1" 5e-04 0
"2" 0.0015 2.59310344827586
"3" 0.0025 3.88965517241379
"4" 0.0035 2.59310344827586
"5" 0.0045 2.59310344827586
"6" 0.0055 1.29655172413793
"7" 0.0065 1.29655172413793
"8" 0.0075 2.59310344827586
"9" 0.0085 1.29655172413793
"10" 0.0095 0.648275862068965
"11" 0.0105 0
"12" 0.0115 0
"13" 0.0125 0
"14" 0.0135 0
"15" 0.0145 0
"16" 0.0155 0
"17" 0.0165 0
"18" 0.0175 0
"19" 0.0185 0
"20" 0.0195 0
